Identity,total_rakeback,cut_off,payable_amount,platform
siddyk20,113.19,20,22.638,PokerBaazi
abhi1990,161.4,20,32.28,PokerBaazi
Niki52,11556.96,20,2311.392,PokerBaazi
Suchun,7455.61,20,1491.122,PokerBaazi
Rakus,6156.62,20,1231.324,PokerBaazi
Bambhola,8194.84,20,1638.968,PokerBaazi
rmishra703,149.14,20,29.828,PokerBaazi
blastupinside,348.14,20,69.628,PokerBaazi
vinay09,4472.12,20,894.424,PokerBaazi
Hungrypython,0.25,20,0.05,PokerDangal
jaisharma13,172.98,20,34.596,PokerDangal
Prakash7639,146.52,20,29.304,PokerDangal
jaisharma13,1.47,20,0.294,PokerDangal
VinayO9,483.78,20,96.756,PokerDangal
jaisharma13,31.39,20,6.278,PokerDangal
VinayO9,533.78,20,106.756,PokerDangal
jaisharma13,256.41,20,51.282,PokerDangal
VinayO9,328.99,20,65.798,PokerDangal
badshah123,0.3,20,0.06,PokerDangal
jaisharma13,1109.83,20,221.966,PokerDangal
VinayO9,474.88,20,94.976,PokerDangal
